Element Name,Windows NT,Win95,Win32s,Subsystem,Import Library,Header File,Platform Notes,History,Unicode,ElementType
MCI_CONFIGURE,Yes,Yes,Yes,msg/mm, -,mmsystem.h,,,No,command message
MCI_COPY,Yes,Yes,Yes,msg/mm, -,mmsystem.h,,,No,command message
MCI_CUE,Yes,Yes,Yes,msg/mm, -,mmsystem.h,,,No,command message
MCI_CUT,Yes,Yes,Yes,msg/mm, -,mmsystem.h,,,No,command message
MCI_DELETE,Yes,Yes,Yes,msg/mm, -,mmsystem.h,,,No,command message
MCI_ESCAPE,Yes,Yes,Yes,msg/mm, -,mmsystem.h,,,No,command message
MCI_FREEZE,Yes,Yes,Yes,msg/mm, -,mmsystem.h,,,No,command message
MCI_GETDEVCAPS,Yes,Yes,Yes,msg/mm, -,mmsystem.h,,,No,command message
MCI_INDEX,Yes,Yes,Yes,msg/mm, -,mmsystem.h,,,No,command message
MCI_INFO,Yes,Yes,Yes,msg/mm, -,mmsystem.h,,,No,command message
MCI_LIST,Yes,Yes,Yes,msg/mm, -,mmsystem.h,,,No,command message
MCI_LOAD,Yes,Yes,Yes,msg/mm, -,mmsystem.h,,,No,command message
MCI_MARK,Yes,Yes,Yes,msg/mm, -,mmsystem.h,,,No,command message
MCI_MONITOR,Yes,Yes,Yes,msg/mm, -,mmsystem.h,,,No,command message
MCI_OPEN,Yes,Yes,Yes,msg/mm, -,mmsystem.h,,,No,command message
MCI_PASTE,Yes,Yes,Yes,msg/mm, -,mmsystem.h,,,No,command message
MCI_PAUSE,Yes,Yes,Yes,msg/mm, -,mmsystem.h,,,No,command message
MCI_PLAY,Yes,Yes,Yes,msg/mm, -,mmsystem.h,,,No,command message
MCI_PUT,Yes,Yes,Yes,msg/mm, -,mmsystem.h,,,No,command message
MCI_QUALITY,Yes,Yes,Yes,msg/mm, -,mmsystem.h,,,No,command message
MCI_REALIZE,Yes,Yes,Yes,msg/mm, -,mmsystem.h,,,No,command message
MCI_RECORD,Yes,Yes,Yes,msg/mm, -,mmsystem.h,,,No,command message
MCI_RESERVE,Yes,Yes,Yes,msg/mm, -,mmsystem.h,,,No,command message
MCI_RESTORE,Yes,Yes,Yes,msg/mm, -,mmsystem.h,,,No,command message
MCI_RESUME,Yes,Yes,Yes,msg/mm, -,mmsystem.h,,,No,command message
MCI_SAVE,Yes,Yes,Yes,msg/mm, -,mmsystem.h,,,No,command message
MCI_SEEK,Yes,Yes,Yes,msg/mm, -,mmsystem.h,,,No,command message
MCI_SET,Yes,Yes,Yes,msg/mm, -,mmsystem.h,,,No,command message
MCI_SETAUDIO,Yes,Yes,Yes,msg/mm, -,mmsystem.h,,,No,command message
MCI_SETTIMECODE,Yes,Yes,Yes,msg/mm, -,mmsystem.h,,,No,command message
MCI_SETTUNER,Yes,Yes,Yes,msg/mm, -,mmsystem.h,,,No,command message
MCI_SETVIDEO,Yes,Yes,Yes,msg/mm, -,mmsystem.h,,,No,command message
MCI_SIGNAL,Yes,Yes,Yes,msg/mm, -,mmsystem.h,,,No,command message
MCI_SPIN,Yes,Yes,Yes,msg/mm, -,mmsystem.h,,,No,command message
MCI_STATUS,Yes,Yes,Yes,msg/mm, -,mmsystem.h,,,No,command message
MCI_STEP,Yes,Yes,Yes,msg/mm, -,mmsystem.h,,,No,command message
MCI_STOP,Yes,Yes,Yes,msg/mm, -,mmsystem.h,,,No,command message
MCI_SYSINFO,Yes,Yes,Yes,msg/mm, -,mmsystem.h,,,No,command message
MCI_UNDO,Yes,Yes,Yes,msg/mm, -,mmsystem.h,,,No,command message
MCI_UNFREEZE,Yes,Yes,Yes,msg/mm, -,mmsystem.h,,,No,command message
